time,dives,contracts,permits,raids
08-23-2023 17:46:48,1,0,1,0
08-23-2023 18:35:23,0,0,0,0
08-23-2023 19:23:59,0,1,0,0
08-23-2023 20:12:35,0,0,1,0
08-23-2023 21:01:09,1,0,0,0
08-23-2023 21:49:45,0,0,0,0
08-23-2023 22:38:37,2,0,0,0
08-23-2023 23:27:38,1,1,0,0
08-24-2023 00:16:27,0,0,0,0
08-24-2023 01:05:18,0,0,0,0
08-24-2023 01:54:09,0,0,0,0
08-24-2023 02:43:00,0,0,0,0
08-24-2023 03:31:52,1,0,1,0
08-24-2023 04:20:36,0,1,0,0
08-24-2023 05:09:11,0,0,0,0
08-24-2023 05:57:53,2,0,0,0
08-24-2023 06:46:45,1,2,0,0
08-24-2023 07:35:27,1,0,1,0
08-24-2023 08:24:02,1,0,0,0
08-24-2023 09:12:37,0,1,0,0
08-24-2023 10:01:04,0,0,0,0
08-24-2023 10:49:40,0,0,0,0
08-24-2023 11:38:15,0,0,0,0
08-24-2023 12:26:58,1,1,0,1
08-24-2023 13:18:23,2,0,0,1
08-24-2023 14:07:15,2,0,0,0
08-24-2023 14:56:05,0,0,0,0
08-24-2023 15:44:57,1,0,0,0
08-24-2023 16:33:49,0,1,0,0
08-24-2023 17:22:32,0,0,0,0
08-24-2023 18:11:15,0,0,0,0
08-24-2023 19:00:06,1,0,0,0
08-24-2023 19:49:08,4,0,0,0
08-24-2023 20:38:09,1,1,0,0
08-24-2023 21:27:02,1,0,0,0
08-24-2023 22:15:52,2,0,0,0
08-24-2023 23:04:44,1,0,0,0
08-24-2023 23:53:37,0,0,1,0
08-25-2023 00:42:20,1,2,0,0
08-25-2023 01:30:48,0,0,0,0
08-25-2023 02:19:15,1,0,0,0
08-25-2023 03:07:59,1,0,0,0
08-25-2023 03:56:44,1,1,0,0
08-25-2023 04:45:19,0,0,0,0
08-25-2023 05:33:54,0,0,0,0
08-25-2023 06:22:30,1,1,0,0
08-25-2023 07:11:15,0,0,1,0
08-25-2023 07:59:51,0,0,1,0
08-25-2023 08:48:17,0,0,0,0
08-25-2023 09:36:45,0,0,0,0
08-25-2023 10:25:30,1,0,0,0
08-25-2023 11:14:21,0,0,0,1
08-25-2023 12:03:12,1,1,0,0
